Entity,Day,COVID-19 doses (daily)
Africa,2021-08-07,656428.44
Africa,2021-08-08,604332.4
Africa,2021-08-09,1075179.9
Africa,2021-08-10,696752.44
Africa,2021-08-11,1194162.1
Africa,2021-08-12,1308668.2
Africa,2021-08-13,898135.56
Africa,2021-08-14,637606.75
Africa,2021-08-15,853545.25
Africa,2021-08-16,1392167.6
Africa,2021-08-17,1596911.6
Africa,2021-08-18,1553157.6
Africa,2021-08-19,1589719.4
Africa,2021-08-20,1178244.5
Africa,2021-08-21,1187034.2
Africa,2021-08-22,925074.7
Africa,2021-08-23,1675301.5
Africa,2021-08-24,1859814.5
Africa,2021-08-25,1720745.2
Africa,2021-08-26,1791419.2
Africa,2021-08-27,1814661
Africa,2021-08-28,1068037.4
Africa,2021-08-29,1815310.4
Africa,2021-08-30,1354318.5
Africa,2021-08-31,1481548.8
Africa,2021-09-01,1581446.1
Africa,2021-09-02,1485057.8
Africa,2021-09-03,1285779.9
Africa,2021-09-04,1605813.2
Africa,2021-09-05,1122067.9
Africa,2021-09-06,1953504.9
Africa,2021-09-07,1081463.2
Africa,2021-09-08,1108468.6
Africa,2021-09-09,1527303.8
Africa,2021-09-10,2088571.4
Africa,2021-09-11,2047812.4
Africa,2021-09-12,1396606.2
Africa,2021-09-13,1277211.4
Africa,2021-09-14,1349196
Africa,2021-09-15,1171886.8
Africa,2021-09-16,2247072
Africa,2021-09-17,1338165.1
Africa,2021-09-18,1311919.2
Africa,2021-09-19,1351192.6
Africa,2021-09-20,1465499.9
Africa,2021-09-21,1488592.6
Africa,2021-09-22,1525469.5
Africa,2021-09-23,1667532.5
Africa,2021-09-24,1291334.9
Africa,2021-09-25,1253186
Africa,2021-09-26,1435031.5
Africa,2021-09-27,1520009.1
Africa,2021-09-28,1323881.1
Africa,2021-09-29,1258146.6
Africa,2021-09-30,1264764.4
Africa,2021-10-01,1378207.8
Africa,2021-10-02,1336053.1
Africa,2021-10-03,1202535.9
Africa,2021-10-04,1304440.2
Africa,2021-10-05,1366798.2
Africa,2021-10-06,1522392
Africa,2021-10-07,1340424.1
Africa,2021-10-08,1261262.2
Africa,2021-10-09,1159253.2
Africa,2021-10-10,1186393.2
Africa,2021-10-11,1356098.8
Africa,2021-10-12,1609962.8
Africa,2021-10-13,1727559.2
Africa,2021-10-14,1454774.6
Africa,2021-10-15,1721145.1
Africa,2021-10-16,1507131
Africa,2021-10-17,1505461.9
Africa,2021-10-18,1568551
Africa,2021-10-19,1533157.6
Africa,2021-10-20,1541655.9
Africa,2021-10-21,1458549.6
Africa,2021-10-22,1695186.6
Africa,2021-10-23,1513871.2
Africa,2021-10-24,1450623.6
Africa,2021-10-25,2025624.1
Africa,2021-10-26,2047429.1
Africa,2021-10-27,1652582.1
Africa,2021-10-28,1607280.5
Africa,2021-10-29,1793120.2
Africa,2021-10-30,1674947.1
Africa,2021-10-31,1464630.4
Africa,2021-11-01,1439765.2
Africa,2021-11-02,1387041.5
Africa,2021-11-03,1358958.2
Africa,2021-11-04,1385567.4
Africa,2021-11-05,1391387
Africa,2021-11-06,1270731.6
Africa,2021-11-07,1726702.5
Africa,2021-11-08,1782142.4
Africa,2021-11-09,1825146.5
Africa,2021-11-10,1859021.2
Africa,2021-11-11,1815831
Africa,2021-11-12,1548822.9
Africa,2021-11-13,1492665
Africa,2021-11-14,1345700.9
Africa,2021-11-15,1489741.6
Africa,2021-11-16,1465160.2
Africa,2021-11-17,1495603.6
Africa,2021-11-18,1405112
Africa,2021-11-19,1575858
Africa,2021-11-20,1667920.2
Africa,2021-11-21,1796072
Africa,2021-11-22,1927359.9
Africa,2021-11-23,2043684.4
Africa,2021-11-24,2211847
Africa,2021-11-25,2260791.5
Africa,2021-11-26,2016043.1
Africa,2021-11-27,1789093.5
Africa,2021-11-28,1662583.9
Africa,2021-11-29,2119673
Africa,2021-11-30,2135709.5
Africa,2021-12-01,1937203.1
Africa,2021-12-02,2077002.9
Africa,2021-12-03,2657350.5
Africa,2021-12-04,1538822.9
Africa,2021-12-05,1444168.5
Africa,2021-12-06,1632865.1
Africa,2021-12-07,1721238.1
Africa,2021-12-08,1720489.2
Africa,2021-12-09,1668698.5
Africa,2021-12-10,2055880.5
Africa,2021-12-11,1839671.8
Africa,2021-12-12,1863341.9
