"COVID-19 doses (daily, no outliers)",Daily new confirmed deaths due to COVID-19 (no outliers)
311412.22,221943.35
343943.5,183224.26
345352.6,150036.47
470659.6,186681.32
401216.3,229548.87
284891.7,262736.68
274146.34,157642.0
456097.38,180458.6
408324.44,177692.94999999998
434799.34,147270.81
654067.0,180458.6
732990.9,278639.14
666409.2,280021.97000000003
653142.5,167321.77000000002
471062.4,238537.24000000002
431778.78,154876.35
482092.78,141739.52000000002
854525.8,174927.31
624137.0,162481.88999999998
644840.7,237845.82
604702.7,188755.56
523919.66,224708.99
498994.34,170087.43000000002
551753.2,170087.43000000002
617778.25,212954.97999999998
625441.25,202583.80000000002
702204.3,255822.53999999998
441368.88,173544.48
362062.78,192904.03
469932.38,186681.32
541922.4,145196.57
828274.4,215720.62
714788.75,259279.6
641174.1,253748.3
598310.3,217794.87
357926.84,288318.93
492600.12,170778.83
552428.1,226091.82
606088.3,297307.28
473541.12,304912.8
612001.4,257896.78
556965.56,323580.94999999995
368187.88,358151.56
601695.06,277256.3
614387.8,256513.94999999998
551744.5,306987.05
530570.0,469468.95
566475.4,351928.86
582955.0,349163.2
366835.16,411390.3
479108.94,340866.27
401241.94,290393.14
560539.2,374054.04
612625.94,384425.22000000003
553028.1,518559.2
437728.1,1050255.2999999998
375030.94,488828.48
410877.78,340866.27
490615.28,449417.98
462431.28,504039.5
557714.56,591848.9
537233.1,603602.95
560891.25,600837.3
364390.4,636099.3
408339.1,474308.82
718812.0,431441.25
722490.94,509570.83999999997
778767.2,747416.7000000001
1066775.5,683115.2999999999
316408.44,651310.3999999999
313128.12,686572.4
261409.2,540684.3999999999
743016.6,400327.7
564460.06,501965.34
680304.25,771616.1
713790.56,643013.3999999999
542756.1,650619.0
294622.53,855277.0
322723.2,659607.3
903333.94,573180.8
1076963.4,591848.9
1152583.6,581477.7
1147329.4,826237.7
665771.94,743268.2000000001
502558.84,608442.7999999999
424122.84,553129.85
728698.1,524090.5
1794088.9,593231.74
846319.0,761244.9
817351.9,658224.46
882037.5,1054403.8
656428.44,795815.5
604332.4,524090.5
1075179.9,472234.58
696752.44,419687.24
